지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
경기도,(주)광역주유소 대곶,경기 김포시 대곶면 대곶남로 533,GS칼텍스,031-997-1800,Y,1759,1514,1595,1430
경기도,(주)구산에너지 탄벌주유소,경기 광주시 회안대로 712,현대오일뱅크,031-769-5145,Y,1957,1565,1589,-
경기도,(주)나라에너지,경기 김포시 대곶면 대곶서로 151,현대오일뱅크,031-996-0017,N,-,1547,1597,-
경기도,(주)남경석유 분당스타self주유소,경기 성남시 분당구 새마을로 65,S-OIL,031-704-8738,Y,1898,1599,1699,1830
경기도,(주)내유셀프주유소,경기 고양시 덕양구 통일로 1228,현대오일뱅크,031-963-2463,Y,-,1514,1564,-
경기도,(주)대기주유소,경기 광주시 초월읍 경충대로 898,GS칼텍스,031-762-4543,Y,1795,1585,1668,1590
경기도,(주)대미주유소,경기 군포시 군포로 10,S-OIL,031-502-0833,Y,-,1578,1665,-
경기도,(주)대지석유 갈마주유소,경기 광주시 경충대로 2187 (삼동),S-OIL,031-761-2859,Y,-,1538,1575,1600
경기도,(주)대화에너지,경기 고양시 일산서구 탄중로 251 (탄현동),SK에너지,031-925-9120,Y,1720,1530,1579,-
경기도,(주)덕성에너지,경기 광주시 도척면 도척로 313,S-OIL,031-763-6544,Y,-,1565,1605,-
경기도,(주)동일석유 신동일산주유소,경기 고양시 일산동구 성현로 469 (사리현동),SK에너지,031-962-5151,N,-,1569,1609,1540
경기도,(주)두바이 곤지암리조트,경기 광주시 도척면 도척윗로 263,GS칼텍스,031-767-7751,Y,-,1595,1655,1550
경기도,(주)디오티디 고양용가리주유소,경기 고양시 일산동구 백마로 590,현대오일뱅크,070-4193-5151,Y,1715,1535,1565,-
경기도,(주)디오티디 김포햇님이주유소,경기 김포시 대곶면 대명항로 530,현대오일뱅크,031-989-5186,Y,-,1525,1564,1385
경기도,(주)명주로데오주유소,경기 고양시 일산서구 덕이로 78-3,현대오일뱅크,031-912-4097,Y,-,1524,1587,1450
경기도,(주)무진에너지 서김포IC주유소,경기 김포시 양촌면 김포대로 1634,GS칼텍스,031-982-5151,Y,-,1505,1599,-
경기도,(주)블루웰오일 동산주유소,경기 고양시 덕양구 고양대로 1926,SK에너지,02-358-5188,Y,-,1527,1587,-
경기도,(주)삼표에너지 갈매신내주유소,경기 구리시 경춘북로 75 (갈매동),GS칼텍스,031-528-7112,Y,1789,1579,1649,1600
경기도,(주)삼표에너지 동해주유소,경기도 고양시 덕양구  중앙로 110 (화전동),GS칼텍스,02-3159-9774,Y,-,1495,1565,1517
경기도,(주)삼표에너지 야탑주유소,경기 성남시 분당구 돌마로 910,GS칼텍스,031-706-5145,Y,-,1575,1635,-
경기도,(주)새서울석유 신도시주유소,경기 성남시 분당구 황새울로359번길 3,현대오일뱅크,031-706-5151,N,1998,1598,1695,-
경기도,(주)서울주유소,경기 가평군 청평면 경춘로 1191,SK에너지,031-584-5060,N,-,1639,1699,-
경기도,(주)설악주유소,경기 가평군 설악면 유명로 1711,현대오일뱅크,031-584-4300,N,-,1670,1770,1500
경기도,(주)세일 통일로일품주유소,경기 고양시 덕양구 통일로 862 (관산동),S-OIL,031-962-8055,Y,-,1555,1565,1450
경기도,(주)신세계주유소,경기도 고양시 일산동구  호수로 453 (백석동),S-OIL,031-905-0210,Y,-,1574,1624,-
경기도,(주)썬라이즈오일 해뜨는광주,경기 광주시 순암로 215 (중대동),SK에너지,031-798-1126,Y,1994,1575,1695,1600
경기도,(주)씨에이에너지 상대원제2주유소,경기 광주시 오포읍 회안대로 15,현대오일뱅크,031-766-5149,Y,-,1645,1785,1700
경기도,(주)어울림주유소,경기 고양시 덕양구 충장로 407,알뜰주유소,031-967-5145,Y,-,1495,1565,-
경기도,(주)엘프앤코 통일로주유소지점,경기 고양시 덕양구 통일로 1020 (관산동),현대오일뱅크,031-964-1020,Y,-,1515,1564,-
경기도,(주)오일릭주유소,경기 가평군 가평읍 경춘로 1741,S-OIL,031-581-2280,N,-,1584,1639,-
경기도,(주)오일유업직영GS경춘주유소,경기 가평군 가평읍 경춘로 1776,GS칼텍스,031-581-4545,N,-,1577,1639,1500
경기도,(주)오일플라자,경기 광주시 오포읍 양벌로 84,S-OIL,031-762-1263,Y,-,1575,1645,1550
경기도,(주)원일유통 능곡주유소,경기 고양시 덕양구 토당로 104 (토당동),SK에너지,031-972-7311,Y,-,1556,1635,-
경기도,(주)원흥 고양동지점,경기 고양시 덕양구 호국로 1789,현대오일뱅크,031-965-5189,Y,1695,1495,1565,-
경기도,(주)원흥 원흥동지점,경기 고양시 덕양구 서오릉로 712 (원흥동),현대오일뱅크,031-963-5189,Y,-,1495,1565,1450
경기도,(주)원흥 풍동지점,경기 고양시 일산동구 무궁화로 299 (풍동),현대오일뱅크,031-908-5189,Y,1695,1495,1565,-
경기도,(주)원흥.벽제동지점,경기 고양시 덕양구 호국로 1664,현대오일뱅크,031-909-5189,Y,-,1495,1565,-
경기도,(주)위굴리 구도일주유소 톨게이트,경기 성남시 분당구 대왕판교로 263,S-OIL,031-786-1070,N,1798,1648,1698,-
경기도,(주)윈통상 하성제일셀프주요소,경기 김포시 하성면 월하로 782,현대오일뱅크,031-996-4100,Y,-,1528,1588,1400
경기도,(주)유성 화정점,경기 고양시 덕양구 호국로 624 (화정동),현대오일뱅크,031-964-0014,Y,-,1525,1575,-
경기도,(주)유카스 에너지 올림픽점,경기 김포시 고촌읍 벌말로 768-70,SK에너지,031-985-5185,Y,-,1525,1585,1500
경기도,(주)유카스에너지 김포뉴타운,경기 김포시 양촌읍 김포대로 1581,SK에너지,070-4911-8978,Y,-,1495,1589,-
경기도,(주)인에너지,경기 김포시 대곶면 대곶북로 525,S-OIL,031-982-8111,Y,-,1516,1595,1490
경기도,(주)주연덕이 셀프주유소,경기 고양시 일산서구 덕이로292번길 13(덕이동),현대오일뱅크,031-918-5102,Y,-,1546,1597,-
경기도,(주)지에스이앤알 직영 하안단지주유소,경기 광명시 오리로 608 (소하동),GS칼텍스,02-899-5202,Y,1734,1524,1614,-
경기도,(주)진성에너지 무궁화셀프주유소,경기 고양시 일산동구 무궁화로 304 (풍동),현대오일뱅크,031-906-3265,Y,-,1535,1565,-
경기도,(주)청명주유소,경기 김포시 하성면 하성로 247,GS칼텍스,031-985-0325,Y,-,1515,1575,1445
경기도,(주)케이에이치에너지 세준주유소,경기 광주시 곤지암읍 경충대로 522,S-OIL,031-797-5151,Y,-,1578,1668,1550
경기도,(주)태리주유소,경기 김포시 고촌읍 장곡로3번길 20,GS칼텍스,031-986-0150,N,-,1577,1667,1590
경기도,(주)태평석유직영 에덴주유소,경기 김포시 대곶면 대곶북로 31,SK에너지,031-984-8951,Y,-,1525,1585,1550
경기도,(주)한미석유 덕이동주유소,경기 고양시 일산서구 덕이로 174 (덕이동),GS칼텍스,031-912-7618,N,-,1525,1595,-
경기도,(주)한유에너지 금정주유소,경기 군포시 군포로 617 (금정동),SK에너지,031-454-5151,N,-,1669,1799,1560
경기도,(주)한진 김포스마일주유소,경기 김포시 통진읍 김포대로 2429,S-OIL,031-986-5145,N,-,1525,1608,-
경기도,(주)행운주유소,경기 광명시 부광로 309 (옥길동),SK에너지,02-2619-0700,Y,-,1566,1648,1600
경기도,(주)헨지스에너지직영 세이버주유소,경기 고양시 덕양구 화랑로 124 (화전동),현대오일뱅크,02-3158-0014,N,-,1515,1585,1500
경기도,(주)휴세코 희망주유소/충전소,경기 고양시 일산서구 경의로 910,현대오일뱅크,031-925-5133,Y,-,1535,1585,1600
경기도,CJ대한통운(주)직영 경기고속주유소,경기 광주시 초월읍 경충대로 1021,GS칼텍스,031-765-5805,N,-,1585,1668,1600
경기도,GS칼텍스 상암주유소,경기 고양시 덕양구 자유로 38 (덕은동),GS칼텍스,02-3158-0030,N,-,1667,1767,1580
경기도,GS칼텍스 중부주유소,경기 광주시 곤지암읍 경충대로 487,GS칼텍스,031-769-9090,N,-,1688,1778,1550
