지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
강원도,(주)강릉햇살 유천주유소,강원도 강릉시 사임당로 178(유천동),현대오일뱅크,033-641-1868,Y,1754,1544,1594,-
강원도,(주)고씨굴주유소,강원 영월군 김삿갓면 영월동로 1139,SK에너지,033-372-9881,N,-,1660,1679,1400
강원도,(주)금메달주유소,강원 삼척시 근덕면 삼척로 2771,S-OIL,033-574-0010,N,-,1600,1790,-
강원도,(주)낙산주유소,강원 양양군 강현면 동해대로 3081,GS칼텍스,033-672-2871,Y,-,1635,1699,-
강원도,(주)남해토탈 삼척지점,강원 삼척시 원덕읍 삼척로 634,현대오일뱅크,033-573-9757,N,-,1580,1710,1540
강원도,(주)대성길,강원 강릉시 구정면 칠성로 187,S-OIL,033-643-1122,Y,-,1520,1649,1450
강원도,(주)대현유통 횡성(인천방향)주유소,강원 횡성군 안흥면 영동고속도로 153-1,알뜰(ex),033-342-5883,Y,-,1500,1585,-
강원도,(주)동산 효자로주유소,강원 동해시 효자로 723 (효가동),S-OIL,033-521-8259,N,-,1599,1735,-
강원도,(주)디오티디 원주꼬끼오주유소,강원 원주시 문막읍 원문로 1468 (문막읍),S-OIL,033-732-5185,N,-,1538,1609,-
강원도,(주)디오티디 원주베짱이주유소,강원 원주시 문막읍 원문로 1449,알뜰주유소,033-744-5185,N,-,1538,1609,-
강원도,(주)따스한놈들 북원지점,강원 원주시 소초면 북원로 3064,SK에너지,033-748-2007,Y,-,1525,1595,-
강원도,(주)맥산주유소,강원 양양군 양양읍 동해대로 2643,GS칼텍스,033-671-7755,Y,-,1550,1694,-
강원도,(주)명진에너지 동해지점,강원 동해시 동해대로 5361 (천곡동),SK에너지,033-535-5189,Y,1930,1520,1635,-
강원도,(주)명진에너지 북강릉지점,강원 강릉시 연곡면 동해대로 4091,SK에너지,033-642-5169,Y,1730,1535,1638,-
강원도,(주)명진에너지 사천지점,강원 강릉시 사천면 동해대로 3576,SK에너지,033-647-5189,Y,-,1545,1675,-
강원도,(주)미파랑 오일뱅크,강원 속초시 동해대로 4043 (조양동),현대오일뱅크,033-635-1951,Y,-,1544,1594,-
강원도,(주)범일로self주유소,강원 강릉시 범일로 475 (내곡동),SK에너지,033-647-5189,Y,-,1510,1594,1380
강원도,(주)삼보물류 삼보주유소,강원 강릉시 동해대로 3970,S-OIL,033-644-1011,N,-,1578,1688,1500
강원도,(주)삼웅에너지 서원주주유소/충전소,강원 원주시 문막읍 원문로 1342,GS칼텍스,033-735-5808,N,-,1578,1659,1500
강원도,(주)삼척현대주유소,강원 삼척시 동해대로 4011,현대오일뱅크,033-574-2088,Y,-,1560,1655,1450
강원도,(주)석사주유소,강원 춘천시 공지로 49 (석사동),현대오일뱅크,033-261-2706,Y,1738,1558,1628,1420
강원도,(주)선인상사 홍천강(춘천방향)주유소/충전소,강원 홍천군 북방면 도사곡길 223,알뜰(ex),033-435-6751,Y,-,1505,1585,-
강원도,(주)시원 유진주유소,강원 속초시 동해대로 4168 (조양동),SK에너지,033-635-5145,Y,-,1593,1593,1450
강원도,(주)에스앤제이(삼익주유소),강원 정선군 정선읍 비봉로 71,GS칼텍스,033-562-5151,N,-,1560,1740,1450
강원도,(주)올림픽주유소,강원 횡성군 둔내면 경강로 4817,SK에너지,033-343-3111,N,-,1595,1738,1400
강원도,(주)원일유통 춘천,강원 춘천시 동내면 영서로 1432 춘천휴게소(내)SK주유소,SK에너지,033-264-0391,Y,-,1537,1622,-
강원도,(주)중부에너지 GS신동주유소/충전소,강원 춘천시 신동면 경춘로 1757,GS칼텍스,033-261-3351,N,-,1659,1754,1590
강원도,(주)중앙에너지산업귀래지점 석산주유소,강원 원주시 귀래면 고청길 70,SK에너지,033-764-5757,N,-,-,1678,1650
강원도,(주)지에스에너지 새홍천주유소,강원 홍천군 홍천읍 설악로 1762,GS칼텍스,033-435-2112,Y,-,1558,1588,1400
강원도,(주)진명성덕주유소,강원 강릉시 입암로 47 (입암동),현대오일뱅크,033-642-5182,Y,-,1538,1594,-
강원도,(주)치악제일주유소,강원 원주시 신림면 신림황둔로 833,현대오일뱅크,033-763-5808,N,-,1548,1608,1450
